bombilla1,bombilla2,bombilla3,bombilla4,electrovalvula,VoltVentilador,carga1,carga2,carga3,carga4,VelocidadViento,radiacion,humedad1,humedad2, temperatura1,temperatura2,date
,,,,,,,,,,,,,,,,2025-06-09 15:17:19
,,,,,,,,,,,,,,,,2025-06-09 15:17:22
,,,,,,,,,,,,,,,,2025-06-09 15:17:23
,,,,,,,,,,,,,,,,2025-06-09 15:17:24
,,,,,,,,,,,,,,,,2025-06-09 15:17:25
,,,,,,,,,,,,,,,,2025-06-09 15:17:27
,,,,,,,,,,,,,,,,2025-06-09 15:17:28
,,,,,,,,,,,,,,,,2025-06-09 15:17:29
,,,,,,,,,,,,,,,,2025-06-09 15:17:30
,,,,,,,,,,,,,,,,2025-06-09 15:17:31
,,,,,,,,,,,,,,,,2025-06-09 15:17:32
,,,,,,,,,,,,,,,,2025-06-09 15:17:33
,,,,,,,,,,,,,,,,2025-06-09 15:17:34
,,,,,,,,,,,,,,,,2025-06-09 15:17:35
,,,,,,,,,,,,,,,,2025-06-09 15:17:36
,,,,,,,,,,,,,,,,2025-06-09 15:17:37
,,,,,,,,,,,,,,,,2025-06-09 15:17:38
,,,,,,,,,,,,,,,,2025-06-09 15:17:39
,,,,,,,,,,,,,,,,2025-06-09 15:17:40
,,,,,,,,,,,,,,,,2025-06-09 15:17:41
,,,,,,,,,,,,,,,,2025-06-09 15:17:42
,,,,,,,,,,,,,,,,2025-06-09 15:17:43
,,,,,,,,,,,,,,,,2025-06-09 15:17:44
,,,,,,,,,,,,,,,,2025-06-09 15:17:45
,,,,,,,,,,,,,,,,2025-06-09 15:17:46
,,,,,,,,,,,,,,,,2025-06-09 15:17:47
,,,,,,,,,,,,,,,,2025-06-09 15:17:48
,,,,,,,,,,,,,,,,2025-06-09 15:17:49
,,,,,,,,,,,,,,,,2025-06-09 15:17:50
,,,,,,,,,,,,,,,,2025-06-09 15:17:51
,,,,,,,,,,,,,,,,2025-06-09 15:17:52
,,,,,,,,,,,,,,,,2025-06-09 15:17:53
,,,,,,,,,,,,,,,,2025-06-09 15:17:54
,,,,,,,,,,,,,,,,2025-06-09 15:17:55
,,,,,,,,,,,,,,,,2025-06-09 15:17:56
,,,,,,,,,,,,,,,,2025-06-09 15:17:57
,,,,,,,,,,,,,,,,2025-06-09 15:17:58
,,,,,,,,,,,,,,,,2025-06-09 15:17:59
,,,,,,,,,,,,,,,,2025-06-09 15:18:00
,,,,,,,,,,,,,,,,2025-06-09 15:18:01
,,,,,,,,,,,,,,,,2025-06-09 15:18:02
,,,,,,,,,,,,,,,,2025-06-09 15:18:03
,,,,,,,,,,,,,,,,2025-06-09 15:18:04
,,,,,,,,,,,,,,,,2025-06-09 15:18:05
,,,,,,,,,,,,,,,,2025-06-09 15:18:06
,,,,,,,,,,,,,,,,2025-06-09 15:18:07
,,,,,,,,,,,,,,,,2025-06-09 15:18:08
,,,,,,,,,,,,,,,,2025-06-09 15:18:09
,,,,,,,,,,,,,,,,2025-06-09 15:18:10
,,,,,,,,,,,,,,,,2025-06-09 15:18:11
,,,,,,,,,,,,,,,,2025-06-09 15:18:12
,,,,,,,,,,,,,,,,2025-06-09 15:18:13
,,,,,,,,,,,,,,,,2025-06-09 15:18:14
,,,,,,,,,,,,,,,,2025-06-09 15:18:15
,,,,,,,,,,,,,,,,2025-06-09 15:18:16
,,,,,,,,,,,,,,,,2025-06-09 15:18:17
,,,,,,,,,,,,,,,,2025-06-09 15:18:18
,,,,,,,,,,,,,,,,2025-06-09 15:18:19
,,,,,,,,,,,,,,,,2025-06-09 15:18:20
,,,,,,,,,,,,,,,,2025-06-09 15:18:21
,,,,,,,,,,,,,,,,2025-06-09 15:18:22
,,,,,,,,,,,,,,,,2025-06-09 15:18:23
,,,,,,,,,,,,,,,,2025-06-09 15:18:24
,,,,,,,,,,,,,,,,2025-06-09 15:18:25
,,,,,,,,,,,,,,,,2025-06-09 15:18:26
,,,,,,,,,,,,,,,,2025-06-09 15:18:27
,,,,,,,,,,,,,,,,2025-06-09 15:18:28
,,,,,,,,,,,,,,,,2025-06-09 15:18:29
,,,,,,,,,,,,,,,,2025-06-09 15:18:30
,,,,,,,,,,,,,,,,2025-06-09 15:18:31
,,,,,,,,,,,,,,,,2025-06-09 15:18:32
,,,,,,,,,,,,,,,,2025-06-09 15:18:34
,,,,,,,,,,,,,,,,2025-06-09 15:18:35
,,,,,,,,,,,,,,,,2025-06-09 15:18:36
,,,,,,,,,,,,,,,,2025-06-09 15:18:37
,,,,,,,,,,,,,,,,2025-06-09 15:18:38
,,,,,,,,,,,,,,,,2025-06-09 15:18:39
,,,,,,,,,,,,,,,,2025-06-09 15:18:40
,,,,,,,,,,,,,,,,2025-06-09 15:18:41
,,,,,,,,,,,,,,,,2025-06-09 15:18:42
,,,,,,,,,,,,,,,,2025-06-09 15:18:43
,,,,,,,,,,,,,,,,2025-06-09 15:18:44
,,,,,,,,,,,,,,,,2025-06-09 15:18:45
,,,,,,,,,,,,,,,,2025-06-09 15:18:46
,,,,,,,,,,,,,,,,2025-06-09 15:18:47
,,,,,,,,,,,,,,,,2025-06-09 15:18:48
,,,,,,,,,,,,,,,,2025-06-09 15:18:49
,,,,,,,,,,,,,,,,2025-06-09 15:18:50
,,,,,,,,,,,,,,,,2025-06-09 15:18:51
,,,,,,,,,,,,,,,,2025-06-09 15:18:52
,,,,,,,,,,,,,,,,2025-06-09 15:18:53
,,,,,,,,,,,,,,,,2025-06-09 15:18:54
,,,,,,,,,,,,,,,,2025-06-09 15:18:55
,,,,,,,,,,,,,,,,2025-06-09 15:18:56
,,,,,,,,,,,,,,,,2025-06-09 15:18:57
,,,,,,,,,,,,,,,,2025-06-09 15:18:58
,,,,,,,,,,,,,,,,2025-06-09 15:18:59
,,,,,,,,,,,,,,,,2025-06-09 15:19:00
,,,,,,,,,,,,,,,,2025-06-09 15:19:01
,,,,,,,,,,,,,,,,2025-06-09 15:19:02
,,,,,,,,,,,,,,,,2025-06-09 15:19:03
,,,,,,,,,,,,,,,,2025-06-09 15:19:04
,,,,,,,,,,,,,,,,2025-06-09 15:19:05
,,,,,,,,,,,,,,,,2025-06-09 15:19:06
,,,,,,,,,,,,,,,,2025-06-09 15:19:07
,,,,,,,,,,,,,,,,2025-06-09 15:19:08
,,,,,,,,,,,,,,,,2025-06-09 15:19:09
,,,,,,,,,,,,,,,,2025-06-09 15:19:10
,,,,,,,,,,,,,,,,2025-06-09 15:19:11
,,,,,,,,,,,,,,,,2025-06-09 15:19:12
,,,,,,,,,,,,,,,,2025-06-09 15:19:13
,,,,,,,,,,,,,,,,2025-06-09 15:19:14
,,,,,,,,,,,,,,,,2025-06-09 15:19:15
,,,,,,,,,,,,,,,,2025-06-09 15:19:16
,,,,,,,,,,,,,,,,2025-06-09 15:19:17
,,,,,,,,,,,,,,,,2025-06-09 15:19:18
,,,,,,,,,,,,,,,,2025-06-09 15:19:19
,,,,,,,,,,,,,,,,2025-06-09 15:19:20
,,,,,,,,,,,,,,,,2025-06-09 15:19:21
,,,,,,,,,,,,,,,,2025-06-09 15:19:22
,,,,,,,,,,,,,,,,2025-06-09 15:19:23
,,,,,,,,,,,,,,,,2025-06-09 15:19:24
,,,,,,,,,,,,,,,,2025-06-09 15:19:25
,,,,,,,,,,,,,,,,2025-06-09 15:19:26
,,,,,,,,,,,,,,,,2025-06-09 15:19:27
,,,,,,,,,,,,,,,,2025-06-09 15:19:28
,,,,,,,,,,,,,,,,2025-06-09 15:19:29
,,,,,,,,,,,,,,,,2025-06-09 15:19:30
,,,,,,,,,,,,,,,,2025-06-09 15:19:31
,,,,,,,,,,,,,,,,2025-06-09 15:19:32
,,,,,,,,,,,,,,,,2025-06-09 15:19:33
,,,,,,,,,,,,,,,,2025-06-09 15:19:34
,,,,,,,,,,,,,,,,2025-06-09 15:19:35
,,,,,,,,,,,,,,,,2025-06-09 15:19:36
0,0,0,0,0,0,6.35792579029015,44.5054805320312,44.5054805320312,31.7896289514509,0.62,599,26.75,24.75,23.2,23.3,2025-06-09 15:19:37
0,0,0,0,0,0,19.0737773708705,82.6530352737723,31.7896289514509,57.2213321126116,0.6,503,26.5,25,23.2,23.3,2025-06-09 15:19:40
1,0,0,0,0,0,95.3688868543526,69.9371836931919,44.5054805320312,6.35792579029015,0.61,1014,26.5,25,23.2,23.3,2025-06-09 15:19:41
1,0,0,1,0,0,6.35792579029015,69.9371836931919,57.2213321126116,6.35792579029015,0.6,624,26.75,24.75,23.2,23.3,2025-06-09 15:19:43
0,0,0,1,0,0,171.663996337835,82.6530352737723,44.5054805320312,6.35792579029015,0.64,142,26.75,24.75,23.2,23.3,2025-06-09 15:19:44
0,0,0,0,0,0,146.232293176674,120.800590015513,44.5054805320312,6.35792579029015,0.6,813,26.75,24.75,23.2,23.3,2025-06-09 15:19:45
0,0,0,0,0,0,82.6530352737723,82.6530352737723,57.2213321126116,6.35792579029015,0.64,536,26.75,24.75,23.2,23.3,2025-06-09 15:19:47
0,0,0,0,0,0,146.232293176674,19.0737773708705,19.0737773708705,6.35792579029015,0.64,737,26.75,24.75,23.2,23.3,2025-06-09 15:19:48
0,0,0,0,0,0,6.35792579029015,6.35792579029015,44.5054805320312,19.0737773708705,0.62,625,26.75,24.75,23.2,23.3,2025-06-09 15:19:49
0,0,0,0,0,0,95.3688868543526,69.9371836931919,57.2213321126116,6.35792579029015,0.61,1016,26.75,25,23.2,23.3,2025-06-09 15:19:50
0,0,0,0,0,0,19.0737773708705,44.5054805320312,82.6530352737723,833326.975407543,0.64,907,26.75,25,23.2,23.3,2025-06-09 15:19:52
0,0,0,0,0,0,171.663996337835,120.800590015513,69.9371836931919,6.35792579029015,0.62,957,26.75,25,23.2,23.3,2025-06-09 15:19:53
0,0,0,0,0,0,82.6530352737723,57.2213321126116,69.9371836931919,6.35792579029015,0.6,548,26.75,24.75,23.2,23.3,2025-06-09 15:19:54
0,0,0,0,0,0,133.516441596094,19.0737773708705,19.0737773708705,44.5054805320312,0.64,748,26.75,24.75,23.2,23.3,2025-06-09 15:19:56
