Tiempo,Humedad1,Humedad2
2025-05-23 11:58:35,33.25,32
2025-05-23 11:58:36,33.75,32
2025-05-23 11:58:37,33.75,32
2025-05-23 11:58:38,33.75,32
2025-05-23 11:58:39,33.25,32
2025-05-23 11:58:40,33.25,32
2025-05-23 11:58:42,33.25,32
2025-05-23 11:58:43,33.25,32
2025-05-23 11:58:44,33.25,31.75
2025-05-23 11:58:45,33.25,31.75
2025-05-23 11:58:46,33.25,31.75
2025-05-23 11:58:48,33.25,32
2025-05-23 11:58:49,33.25,32
2025-05-23 11:58:50,33.25,32
2025-05-23 11:58:51,33.25,32
2025-05-23 11:58:52,33.5,32
2025-05-23 11:58:53,33.5,32
2025-05-23 11:58:55,33.5,32
2025-05-23 11:58:56,33.5,32
2025-05-23 11:58:57,33.5,32
2025-05-23 11:58:58,33.5,32
2025-05-23 11:58:59,33.5,32
2025-05-23 11:59:01,33.5,31.75
2025-05-23 11:59:02,33.5,31.75
2025-05-23 11:59:03,33.5,31.75
2025-05-23 11:59:04,33.25,31.75
2025-05-23 11:59:05,33.25,31.75
2025-05-23 11:59:07,33.25,31.75
2025-05-23 11:59:08,33.25,31.75
2025-05-23 11:59:09,33.75,31.75
2025-05-23 11:59:10,33.75,31.75
2025-05-23 11:59:11,33.75,31.75
2025-05-23 11:59:12,33.5,31.5
2025-05-23 11:59:14,33.5,31.5
2025-05-23 11:59:15,33.5,31.5
2025-05-23 11:59:16,33.5,31.5
2025-05-23 11:59:17,33.75,31.75
2025-05-23 11:59:18,33.75,31.75
2025-05-23 11:59:20,33.75,31.75
2025-05-23 11:59:21,33,31.5
2025-05-23 11:59:22,33,31.5
2025-05-23 11:59:23,33,31.5
2025-05-23 11:59:24,33,31.5
2025-05-23 11:59:25,33.25,32
2025-05-23 11:59:27,33.25,32
2025-05-23 11:59:28,33.25,32
2025-05-23 11:59:29,33.25,31.75
2025-05-23 11:59:30,33.25,31.75
2025-05-23 11:59:31,33.25,31.75
2025-05-23 11:59:33,33.25,31.75
2025-05-23 11:59:34,33.5,32
2025-05-23 11:59:35,33.5,32
2025-05-23 11:59:36,33.5,32
2025-05-23 11:59:37,33,31.75
2025-05-23 11:59:38,33,31.75
2025-05-23 11:59:40,33,31.75
2025-05-23 11:59:41,33,31.75
2025-05-23 11:59:42,33.25,31.75
2025-05-23 11:59:43,33.25,31.75
2025-05-23 11:59:44,33.25,31.75
2025-05-23 11:59:46,33.25,31.75
2025-05-23 11:59:47,33.25,31.75
2025-05-23 11:59:48,33.25,31.75
2025-05-23 11:59:49,33.25,31.75
2025-05-23 11:59:50,33.5,32
2025-05-23 11:59:51,33.5,32
2025-05-23 11:59:53,33.5,32
2025-05-23 11:59:54,33.25,31.75
2025-05-23 11:59:55,33.25,31.75
2025-05-23 11:59:56,33.25,31.75
2025-05-23 11:59:57,33.25,31.75
2025-05-23 11:59:59,33.25,32
2025-05-23 12:00:00,33.25,32
2025-05-23 12:00:01,33.25,32
2025-05-23 12:00:02,33.5,31.75
2025-05-23 12:00:03,33.5,31.75
2025-05-23 12:00:04,33.5,31.75
2025-05-23 12:00:06,33.5,31.75
2025-05-23 12:00:07,33,32
2025-05-23 12:00:08,33,32
2025-05-23 12:00:09,33,32
2025-05-23 12:00:10,33.5,31.75
2025-05-23 12:00:12,33.5,31.75
2025-05-23 12:00:13,33.5,31.75
2025-05-23 12:00:14,33.5,31.75
2025-05-23 12:00:15,33.5,32
2025-05-23 12:00:16,33.5,32
2025-05-23 12:00:17,33.5,32
2025-05-23 12:00:19,33,32
2025-05-23 12:00:20,33,32
2025-05-23 12:00:21,33,32
2025-05-23 12:00:22,33.25,32
2025-05-23 12:00:23,33.25,32
2025-05-23 12:00:25,33.25,32
2025-05-23 12:00:26,33.25,32
2025-05-23 12:00:27,33.5,32
2025-05-23 12:00:28,33.5,32
2025-05-23 12:00:29,33.5,32
2025-05-23 12:00:30,33,31.75
2025-05-23 12:00:32,33,31.75
2025-05-23 12:00:33,33,31.75
2025-05-23 12:00:34,33,31.75
2025-05-23 12:00:35,33.25,32
2025-05-23 12:00:36,33.25,32
2025-05-23 12:00:38,33.25,32
2025-05-23 12:00:39,33.5,31.75
2025-05-23 12:00:40,33.5,31.75
2025-05-23 12:00:41,33.5,31.75
2025-05-23 12:00:42,33.5,31.75
2025-05-23 12:00:44,33,31.75
2025-05-23 12:00:45,33,31.75
2025-05-23 12:00:46,33,31.75
2025-05-23 12:00:47,33.5,31.75
2025-05-23 12:00:48,33.5,31.75
2025-05-23 12:00:49,33.5,31.75
2025-05-23 12:00:51,33.5,31.75
2025-05-23 12:00:52,33,32
2025-05-23 12:00:53,33,32
2025-05-23 12:00:54,33,32
2025-05-23 12:00:55,33,32
2025-05-23 12:00:57,33,32
2025-05-23 12:00:58,33,32
2025-05-23 12:00:59,33,32
2025-05-23 12:01:00,33,32
2025-05-23 12:01:01,33,32
2025-05-23 12:01:03,33,32
2025-05-23 12:01:04,33.25,31.75
2025-05-23 12:01:05,33.25,31.75
2025-05-23 12:01:06,33.25,31.75
2025-05-23 12:01:07,33.25,31.75
2025-05-23 12:01:08,33.25,31.75
2025-05-23 12:01:10,33.25,31.75
2025-05-23 12:01:11,33.25,31.75
2025-05-23 12:01:12,33.5,32
2025-05-23 12:01:13,33.5,32
2025-05-23 12:01:14,33.5,32
2025-05-23 12:01:16,33.5,32
2025-05-23 12:01:17,33.25,31.5
2025-05-23 12:01:18,33.25,31.5
2025-05-23 12:01:19,33.25,31.5
2025-05-23 12:01:20,33.25,31.75
2025-05-23 12:01:21,33.25,31.75
2025-05-23 12:01:23,33.25,31.75
2025-05-23 12:01:24,33.25,31.75
2025-05-23 12:01:25,33.25,31.75
2025-05-23 12:01:26,33.25,31.75
2025-05-23 12:01:27,33.25,31.75
2025-05-23 12:01:29,33.25,31.75
2025-05-23 12:01:30,33.25,31.75
2025-05-23 12:01:31,33.25,31.75
2025-05-23 12:01:32,33.25,31.75
2025-05-23 12:01:33,33.25,32
2025-05-23 12:01:34,33.25,32
2025-05-23 12:01:36,33.25,32
2025-05-23 12:01:37,33,31.75
2025-05-23 12:01:38,33,31.75
2025-05-23 12:01:39,33,31.75
2025-05-23 12:01:40,33,31.75
2025-05-23 12:01:42,33,31.75
2025-05-23 12:01:43,33,31.75
2025-05-23 12:01:44,33,31.75
2025-05-23 12:01:45,33.25,32
2025-05-23 12:01:46,33.25,32
2025-05-23 12:01:48,33.25,32
2025-05-23 12:01:49,33.25,31.5
2025-05-23 12:01:50,33.25,31.5
2025-05-23 12:01:51,33.25,31.5
2025-05-23 12:01:52,33.25,31.5
2025-05-23 12:01:53,33,31.75
2025-05-23 12:01:55,33,31.75
2025-05-23 12:01:56,33,31.75
2025-05-23 12:01:57,33,31.75
2025-05-23 12:01:58,33,31.75
2025-05-23 12:01:59,33,31.75
2025-05-23 12:02:01,33,31.75
2025-05-23 12:02:02,33.25,31.5
2025-05-23 12:02:03,33.25,31.5
2025-05-23 12:02:04,33.25,31.5
2025-05-23 12:02:05,33,31.75
2025-05-23 12:02:06,33,31.75
2025-05-23 12:02:08,33,31.75
2025-05-23 12:02:09,33,31.75
2025-05-23 12:02:10,33,31.75
2025-05-23 12:02:11,33,31.75
2025-05-23 12:02:12,33,31.75
2025-05-23 12:02:14,33.25,31.75
2025-05-23 12:02:15,33.25,31.75
2025-05-23 12:02:16,33.25,31.75
2025-05-23 12:02:17,33.25,31.75
2025-05-23 12:02:18,33,32
2025-05-23 12:02:20,33,32
2025-05-23 12:02:21,33,32
2025-05-23 12:02:22,33.25,31.5
2025-05-23 12:02:23,33.25,31.5
2025-05-23 12:02:24,33.25,31.5
2025-05-23 12:02:25,33.25,31.5
2025-05-23 12:02:27,33.25,31.75
2025-05-23 12:02:28,33.25,31.75
2025-05-23 12:02:29,33.25,31.75
2025-05-23 12:02:30,33,31.75
2025-05-23 12:02:31,33,31.75
2025-05-23 12:02:33,33,31.75
2025-05-23 12:02:34,33,31.75
2025-05-23 12:02:35,33.25,32
2025-05-23 12:02:36,33.25,32
2025-05-23 12:02:37,33.25,32
2025-05-23 12:02:38,33,31.75
2025-05-23 12:02:40,33,31.75
2025-05-23 12:02:41,33,31.75
2025-05-23 12:02:42,33,31.75
2025-05-23 12:02:43,33.25,31.75
2025-05-23 12:02:44,33.25,31.75
2025-05-23 12:02:46,33.25,31.75
2025-05-23 12:02:47,33,31.75
2025-05-23 12:02:48,33,31.75
2025-05-23 12:02:49,33,31.75
2025-05-23 12:02:50,33,31.75
2025-05-23 12:02:52,33.25,31.75
2025-05-23 12:02:53,33.25,31.75
2025-05-23 12:02:54,33.25,31.75
2025-05-23 12:02:55,33.25,31.5
2025-05-23 12:02:56,33.25,31.5
2025-05-23 12:02:58,33.25,31.5
2025-05-23 12:02:59,33.25,31.75
2025-05-23 12:03:00,33.25,31.75
2025-05-23 12:03:01,33.25,31.75
2025-05-23 12:03:02,33.25,31.75
2025-05-23 12:03:03,33,31.75
2025-05-23 12:03:05,33,31.75
2025-05-23 12:03:06,33,31.75
2025-05-23 12:03:07,33,31.75
2025-05-23 12:03:08,33,31.75
2025-05-23 12:03:09,33,31.75
2025-05-23 12:03:11,33,31.75
2025-05-23 12:03:12,33.5,31.75
2025-05-23 12:03:13,33.5,31.75
2025-05-23 12:03:14,33.5,31.75
2025-05-23 12:03:15,33,31.5
2025-05-23 12:03:16,33,31.5
2025-05-23 12:03:18,33,31.5
2025-05-23 12:03:19,33,31.5
2025-05-23 12:03:20,33.25,31.75
2025-05-23 12:03:21,33.25,31.75
2025-05-23 12:03:22,33.25,31.75
2025-05-23 12:03:24,33,31.75
2025-05-23 12:03:25,33,31.75
2025-05-23 12:03:26,33,31.75
2025-05-23 12:03:27,33,31.75
2025-05-23 12:03:28,33.25,31.75
2025-05-23 12:03:29,33.25,31.75
2025-05-23 12:03:31,33.25,31.75
2025-05-23 12:03:32,33,31.5
2025-05-23 12:03:33,33,31.5
2025-05-23 12:03:34,33,31.5
2025-05-23 12:03:35,33,31.5
2025-05-23 12:03:37,33,31.5
2025-05-23 12:03:38,33,31.5
2025-05-23 12:03:39,33,31.5
2025-05-23 12:03:40,33,31.5
2025-05-23 12:03:41,33,31.5
2025-05-23 12:03:42,33,31.5
2025-05-23 12:03:44,33,31.5
2025-05-23 12:03:45,33,32
2025-05-23 12:03:46,33,32
2025-05-23 12:03:47,33,32
2025-05-23 12:03:48,33,31.25
2025-05-23 12:03:50,33,31.25
2025-05-23 12:03:51,33,31.25
2025-05-23 12:03:52,33,31.25
2025-05-23 12:03:53,33,31.75
2025-05-23 12:03:54,33,31.75
2025-05-23 12:03:55,33,31.75
2025-05-23 12:03:57,33,31.75
2025-05-23 12:03:58,33,31.75
2025-05-23 12:03:59,33,31.75
2025-05-23 12:04:00,33,31.75
2025-05-23 12:04:01,33,31.5
2025-05-23 12:04:03,33,31.5
2025-05-23 12:04:04,33,31.5
2025-05-23 12:04:05,33,31.75
2025-05-23 12:04:06,33,31.75
2025-05-23 12:04:07,33,31.75
2025-05-23 12:04:08,33,31.75
2025-05-23 12:04:10,33,32
2025-05-23 12:04:11,33,32
2025-05-23 12:04:12,33,32
2025-05-23 12:04:13,33,31.75
2025-05-23 12:04:14,33,31.75
2025-05-23 12:04:16,33,31.75
2025-05-23 12:04:17,33,31.75
2025-05-23 12:04:18,33,31.5
2025-05-23 12:04:19,33,31.5
2025-05-23 12:04:20,33,31.5
2025-05-23 12:04:21,33,31.75
2025-05-23 12:04:23,33,31.75
2025-05-23 12:04:24,33,31.75
2025-05-23 12:04:25,33,31.75
2025-05-23 12:04:26,33,31.5
2025-05-23 12:04:27,33,31.5
2025-05-23 12:04:29,33,31.5
2025-05-23 12:04:30,33,31.75
2025-05-23 12:04:31,33,31.75
2025-05-23 12:04:32,33,31.75
2025-05-23 12:04:33,33,31.75
2025-05-23 12:04:35,33,31.75
2025-05-23 12:04:36,33,31.75
2025-05-23 12:04:37,33,31.75
2025-05-23 12:04:38,33,31.75
2025-05-23 12:04:39,33,31.75
2025-05-23 12:04:40,33,31.75
2025-05-23 12:04:42,33,31.75
2025-05-23 12:04:43,33,31.5
2025-05-23 12:04:44,33,31.5
2025-05-23 12:04:45,33,31.5
2025-05-23 12:04:46,33,31.75
2025-05-23 12:04:48,33,31.75
2025-05-23 12:04:49,33,31.75
2025-05-23 12:04:50,33,31.75
2025-05-23 12:04:51,33.25,31.25
2025-05-23 12:04:52,33.25,31.25
2025-05-23 12:04:53,33.25,31.25
2025-05-23 12:04:55,33,31.25
2025-05-23 12:04:56,33,31.25
2025-05-23 12:04:57,33,31.25
2025-05-23 12:04:58,33,31.25
2025-05-23 12:04:59,33,31.25
2025-05-23 12:05:00,33,31.25
2025-05-23 12:05:02,33,31.25
2025-05-23 12:05:03,33,31.75
2025-05-23 12:05:04,33,31.75
2025-05-23 12:05:05,33,31.75
2025-05-23 12:05:06,33,31.75
2025-05-23 12:05:08,33,31.75
2025-05-23 12:05:09,33,31.75
2025-05-23 12:05:10,33,31.75
2025-05-23 12:05:11,33,31.75
2025-05-23 12:05:12,33,31.75
2025-05-23 12:05:13,33,31.75
2025-05-23 12:05:15,33,31.5
2025-05-23 12:05:16,33,31.5
2025-05-23 12:05:17,33,31.5
2025-05-23 12:05:18,33,31.5
2025-05-23 12:05:19,33,31.75
2025-05-23 12:05:21,33,31.75
2025-05-23 12:05:22,33,31.75
2025-05-23 12:05:23,33,31.5
2025-05-23 12:05:24,33,31.5
2025-05-23 12:05:25,33,31.5
2025-05-23 12:05:27,33,31.5
2025-05-23 12:05:28,33,31.5
2025-05-23 12:05:29,33,31.5
2025-05-23 12:05:30,33,31.5
2025-05-23 12:05:31,33,31.75
2025-05-23 12:05:32,33,31.75
2025-05-23 12:05:34,33,31.75
2025-05-23 12:05:35,33,31.75
2025-05-23 12:05:36,33,31.25
2025-05-23 12:05:37,33,31.25
2025-05-23 12:05:38,33,31.25
2025-05-23 12:05:40,33,31.25
2025-05-23 12:05:41,33,31.25
2025-05-23 12:05:42,33,31.25
2025-05-23 12:05:43,33,31.25
2025-05-23 12:05:44,33,31.5
2025-05-23 12:05:45,33,31.5
2025-05-23 12:05:47,33,31.5
2025-05-23 12:05:48,33.25,31.5
2025-05-23 12:05:49,33.25,31.5
2025-05-23 12:05:50,33.25,31.5
2025-05-23 12:05:51,33.25,31.5
2025-05-23 12:05:53,33,31.5
2025-05-23 12:05:54,33,31.5
2025-05-23 12:05:55,33,31.5
2025-05-23 12:05:56,33,31.25
2025-05-23 12:05:57,33,31.25
2025-05-23 12:05:58,33,31.25
2025-05-23 12:06:00,33,31.25
2025-05-23 12:06:01,33,31.25
2025-05-23 12:06:02,33,31.25
2025-05-23 12:06:03,33,31.25
2025-05-23 12:06:04,33,31.75
2025-05-23 12:06:06,33,31.75
2025-05-23 12:06:07,33,31.75
2025-05-23 12:06:08,33,31.75
2025-05-23 12:06:09,33,31.75
2025-05-23 12:06:10,33,31.75
2025-05-23 12:06:11,33,31.75
2025-05-23 12:06:13,33,31.5
2025-05-23 12:06:14,33,31.5
2025-05-23 12:06:15,33,31.5
2025-05-23 12:06:16,33,31.5
2025-05-23 12:06:17,33,31.75
2025-05-23 12:06:19,33,31.75
2025-05-23 12:06:20,33,31.75
2025-05-23 12:06:21,33,31.75
2025-05-23 12:06:22,33,31.75
2025-05-23 12:06:23,33,31.75
2025-05-23 12:06:24,33,31.75
2025-05-23 12:06:26,33,31.5
2025-05-23 12:06:27,33,31.5
2025-05-23 12:06:28,33,31.5
2025-05-23 12:06:29,33,31.5
2025-05-23 12:06:30,33,31.5
2025-05-23 12:06:32,33,31.5
2025-05-23 12:06:33,33,31.5
2025-05-23 12:06:34,33,31.5
2025-05-23 12:06:35,33,31.5
2025-05-23 12:06:36,33,31.5
2025-05-23 12:06:38,33,31.5
2025-05-23 12:06:39,33,31.5
2025-05-23 12:06:40,33,31.5
2025-05-23 12:06:41,33,31.5
2025-05-23 12:06:42,33,31.5
2025-05-23 12:06:43,33,31.5
2025-05-23 12:06:45,33,31.5
2025-05-23 12:06:46,33,31.5
2025-05-23 12:06:47,33,31.5
2025-05-23 12:06:48,33,31.5
2025-05-23 12:06:49,33,31.5
2025-05-23 12:06:51,33,31.5
2025-05-23 12:06:52,33,31.5
2025-05-23 12:06:53,33,31.5
2025-05-23 12:06:54,33,31.5
2025-05-23 12:06:55,33,31.5
2025-05-23 12:06:57,33,31.5
2025-05-23 12:06:58,32.75,31.5
2025-05-23 12:06:59,32.75,31.5
2025-05-23 12:07:00,32.75,31.5
2025-05-23 12:07:01,32.75,31.5
2025-05-23 12:07:02,32.75,31.25
2025-05-23 12:07:04,32.75,31.25
2025-05-23 12:07:05,32.75,31.25
2025-05-23 12:07:06,33,31.5
2025-05-23 12:07:07,33,31.5
2025-05-23 12:07:08,33,31.5
2025-05-23 12:07:10,33,31.5
