bombilla1,bombilla2,bombilla3,bombilla4,electrovalvula,VoltVentilador,carga1,carga2,carga3,carga4,VelocidadViento,radiacion,humedad1,humedad2, temperatura1,temperatura2,date
,,,,,,,,,,,,,,,,2025-06-11 11:38:31
,,,,,,,,,,,,,,,,2025-06-11 11:38:36
,,,,,,,,,,,,,,,,2025-06-11 11:38:41
,,,,,,,,,,,,,,,,2025-06-11 11:38:46
,,,,,,,,,,,,,,,,2025-06-11 11:38:51
,,,,,,,,,,,,,,,,2025-06-11 11:38:56
,,,,,,,,,,,,,,,,2025-06-11 11:39:01
,,,,,,,,,,,,,,,,2025-06-11 11:39:06
,,,,,,,,,,,,,,,,2025-06-11 11:39:11
,,,,,,,,,,,,,,,,2025-06-11 11:39:16
,,,,,,,,,,,,,,,,2025-06-11 11:39:21
,,,,,,,,,,,,,,,,2025-06-11 11:39:26
,,,,,,,,,,,,,,,,2025-06-11 11:39:31
,,,,,,,,,,,,,,,,2025-06-11 11:39:36
,,,,,,,,,,,,,,,,2025-06-11 11:39:41
,,,,,,,,,,,,,,,,2025-06-11 11:39:46
,,,,,,,,,,,,,,,,2025-06-11 11:39:51
,,,,,,,,,,,,,,,,2025-06-11 11:39:56
,,,,,,,,,,,,,,,,2025-06-11 11:40:01
,,,,,,,,,,,,,,,,2025-06-11 11:40:06
,,,,,,,,,,,,,,,,2025-06-11 11:40:11
,,,,,,,,,,,,,,,,2025-06-11 11:40:16
,,,,,,,,,,,,,,,,2025-06-11 11:40:21
,,,,,,,,,,,,,,,,2025-06-11 11:40:26
,,,,,,,,,,,,,,,,2025-06-11 11:40:31
,,,,,,,,,,,,,,,,2025-06-11 11:40:36
,,,,,,,,,,,,,,,,2025-06-11 11:40:41
,,,,,,,,,,,,,,,,2025-06-11 11:40:46
,,,,,,,,,,,,,,,,2025-06-11 11:40:51
,,,,,,,,,,,,,,,,2025-06-11 11:40:56
,,,,,,,,,,,,,,,,2025-06-11 11:41:01
,,,,,,,,,,,,,,,,2025-06-11 11:41:06
,,,,,,,,,,,,,,,,2025-06-11 11:41:11
,,,,,,,,,,,,,,,,2025-06-11 11:41:16
,,,,,,,,,,,,,,,,2025-06-11 11:41:21
,,,,,,,,,,,,,,,,2025-06-11 11:41:26
,,,,,,,,,,,,,,,,2025-06-11 11:41:31
,,,,,,,,,,,,,,,,2025-06-11 11:41:36
,,,,,,,,,,,,,,,,2025-06-11 11:41:41
,,,,,,,,,,,,,,,,2025-06-11 11:41:46
,,,,,,,,,,,,,,,,2025-06-11 11:41:51
,,,,,,,,,,,,,,,,2025-06-11 11:41:56
,,,,,,,,,,,,,,,,2025-06-11 11:42:01
,,,,,,,,,,,,,,,,2025-06-11 11:42:06
,,,,,,,,,,,,,,,,2025-06-11 11:42:11
,,,,,,,,,,,,,,,,2025-06-11 11:42:16
,,,,,,,,,,,,,,,,2025-06-11 11:42:21
,,,,,,,,,,,,,,,,2025-06-11 11:42:26
,,,,,,,,,,,,,,,,2025-06-11 11:42:31
,,,,,,,,,,,,,,,,2025-06-11 11:42:36
,,,,,,,,,,,,,,,,2025-06-11 11:42:41
,,,,,,,,,,,,,,,,2025-06-11 11:42:46
,,,,,,,,,,,,,,,,2025-06-11 11:42:51
,,,,,,,,,,,,,,,,2025-06-11 11:42:56
,,,,,,,,,,,,,,,,2025-06-11 11:43:01
,,,,,,,,,,,,,,,,2025-06-11 11:43:06
,,,,,,,,,,,,,,,,2025-06-11 11:43:11
,,,,,,,,,,,,,,,,2025-06-11 11:43:16
,,,,,,,,,,,,,,,,2025-06-11 11:43:21
,,,,,,,,,,,,,,,,2025-06-11 11:43:26
,,,,,,,,,,,,,,,,2025-06-11 11:43:31
,,,,,,,,,,,,,,,,2025-06-11 11:43:36
,,,,,,,,,,,,,,,,2025-06-11 11:43:41
,,,,,,,,,,,,,,,,2025-06-11 11:43:47
,,,,,,,,,,,,,,,,2025-06-11 11:43:52
,,,,,,,,,,,,,,,,2025-06-11 11:43:57
,,,,,,,,,,,,,,,,2025-06-11 11:44:02
,,,,,,,,,,,,,,,,2025-06-11 11:44:07
,,,,,,,,,,,,,,,,2025-06-11 11:44:12
,,,,,,,,,,,,,,,,2025-06-11 11:44:17
,,,,,,,,,,,,,,,,2025-06-11 11:44:22
,,,,,,,,,,,,,,,,2025-06-11 11:44:27
,,,,,,,,,,,,,,,,2025-06-11 11:44:32
,,,,,,,,,,,,,,,,2025-06-11 11:44:37
,,,,,,,,,,,,,,,,2025-06-11 11:44:42
,,,,,,,,,,,,,,,,2025-06-11 11:44:47
,,,,,,,,,,,,,,,,2025-06-11 11:44:52
,,,,,,,,,,,,,,,,2025-06-11 11:44:57
,,,,,,,,,,,,,,,,2025-06-11 11:45:02
,,,,,,,,,,,,,,,,2025-06-11 11:45:07
,,,,,,,,,,,,,,,,2025-06-11 11:45:12
,,,,,,,,,,,,,,,,2025-06-11 11:45:17
,,,,,,,,,,,,,,,,2025-06-11 11:45:22
,,,,,,,,,,,,,,,,2025-06-11 11:45:27
,,,,,,,,,,,,,,,,2025-06-11 11:45:32
,,,,,,,,,,,,,,,,2025-06-11 11:45:37
,,,,,,,,,,,,,,,,2025-06-11 11:45:42
,,,,,,,,,,,,,,,,2025-06-11 11:45:47
,,,,,,,,,,,,,,,,2025-06-11 11:45:52
,,,,,,,,,,,,,,,,2025-06-11 11:45:57
,,,,,,,,,,,,,,,,2025-06-11 11:46:02
,,,,,,,,,,,,,,,,2025-06-11 11:46:07
,,,,,,,,,,,,,,,,2025-06-11 11:46:12
,,,,,,,,,,,,,,,,2025-06-11 11:46:17
,,,,,,,,,,,,,,,,2025-06-11 11:46:22
,,,,,,,,,,,,,,,,2025-06-11 11:46:27
,,,,,,,,,,,,,,,,2025-06-11 11:46:32
,,,,,,,,,,,,,,,,2025-06-11 11:46:37
,,,,,,,,,,,,,,,,2025-06-11 11:46:42
,,,,,,,,,,,,,,,,2025-06-11 11:46:47
,,,,,,,,,,,,,,,,2025-06-11 11:46:52
,,,,,,,,,,,,,,,,2025-06-11 11:46:57
,,,,,,,,,,,,,,,,2025-06-11 11:47:02
,,,,,,,,,,,,,,,,2025-06-11 11:47:07
,,,,,,,,,,,,,,,,2025-06-11 11:47:12
,,,,,,,,,,,,,,,,2025-06-11 11:47:17
,,,,,,,,,,,,,,,,2025-06-11 11:47:22
,,,,,,,,,,,,,,,,2025-06-11 11:47:27
,,,,,,,,,,,,,,,,2025-06-11 11:47:32
,,,,,,,,,,,,,,,,2025-06-11 11:47:37
,,,,,,,,,,,,,,,,2025-06-11 11:47:42
,,,,,,,,,,,,,,,,2025-06-11 11:47:47
,,,,,,,,,,,,,,,,2025-06-11 11:47:52
,,,,,,,,,,,,,,,,2025-06-11 11:47:57
,,,,,,,,,,,,,,,,2025-06-11 11:48:02
,,,,,,,,,,,,,,,,2025-06-11 11:48:07
,,,,,,,,,,,,,,,,2025-06-11 11:48:12
,,,,,,,,,,,,,,,,2025-06-11 11:48:17
,,,,,,,,,,,,,,,,2025-06-11 11:48:22
,,,,,,,,,,,,,,,,2025-06-11 11:48:27
,,,,,,,,,,,,,,,,2025-06-11 11:48:32
,,,,,,,,,,,,,,,,2025-06-11 11:48:37
,,,,,,,,,,,,,,,,2025-06-11 11:48:42
,,,,,,,,,,,,,,,,2025-06-11 11:48:47
0,0,0,0,1,0,146.232293176674,95.3688868543526,69.9371836931919,6.35792579029015,0.54,944,326,319,23.4,23.5,2025-06-11 11:48:52
0,0,0,0,1,0,6.35792579029015,69.9371836931919,57.2213321126116,6.35792579029015,0.53,982,326,319,23.4,23.5,2025-06-11 11:48:58
0,0,0,0,1,0,133.516441596094,31.7896289514509,31.7896289514509,19.0737773708705,0.58,848,327,319,23.4,23.5,2025-06-11 11:49:03
0,0,0,0,1,0,95.3688868543526,82.6530352737723,69.9371836931919,6.35792579029015,0.6,963,326,318,23.4,23.5,2025-06-11 11:49:08
0,0,0,0,1,0,6.35792579029015,6.35792579029015,69.9371836931919,19.0737773708705,0.56,582,326,319,23.4,23.5,2025-06-11 11:49:13
0,0,0,0,1,0,158.948144757254,120.800590015513,69.9371836931919,6.35792579029015,0.54,936,327,319,23.4,23.5,2025-06-11 11:49:19
0,0,0,0,1,0,146.232293176674,95.3688868543526,31.7896289514509,69.9371836931919,0.53,569,327,319,23.4,23.5,2025-06-11 11:49:24
0,0,0,0,1,0,95.3688868543526,69.9371836931919,57.2213321126116,6.35792579029015,0.54,952,326,319,23.4,23.5,2025-06-11 11:49:29
0,0,0,0,1,0,6.35792579029015,44.5054805320312,44.5054805320312,31.7896289514509,0.56,634,326,319,23.4,23.5,2025-06-11 11:49:35
0,0,0,0,1,0,19.0737773708705,82.6530352737723,69.9371836931919,6.35792579029015,0.6,913,326,319,23.4,23.5,2025-06-11 11:49:40
0,0,0,0,1,0,158.948144757254,69.9371836931919,69.9371836931919,19.0737773708705,0.55,927,326,319,23.4,23.5,2025-06-11 11:49:45
0,0,0,0,1,0,57.2213321126116,19.0737773708705,31.7896289514509,6.35792579029015,0.59,582,326,319,23.4,23.5,2025-06-11 11:49:50
0,0,0,0,1,0,82.6530352737723,69.9371836931919,57.2213321126116,6.35792579029015,0.55,602,328,319,23.4,23.5,2025-06-11 11:49:56
0,0,0,0,1,0,158.948144757254,69.9371836931919,44.5054805320312,19.0737773708705,0.55,566,326,319,23.4,23.5,2025-06-11 11:50:01
0,0,0,0,1,0,6.35792579029015,95.3688868543526,44.5054805320312,6.35792579029015,0.6,811,326,319,23.4,23.5,2025-06-11 11:50:06
0,0,0,0,1,0,146.232293176674,6.35792579029015,31.7896289514509,19.0737773708705,0.58,722,325,319,23.4,23.5,2025-06-11 11:50:11
0,0,0,0,1,0,108.084738434933,95.3688868543526,44.5054805320312,19.0737773708705,0.57,731,326,318,23.4,23.5,2025-06-11 11:50:17
0,0,0,0,1,0,6.35792579029015,57.2213321126116,69.9371836931919,31.7896289514509,0.57,773,327,319,23.4,23.5,2025-06-11 11:50:22
0,0,0,0,1,0,6.35792579029015,44.5054805320312,44.5054805320312,31.7896289514509,0.57,634,326,318,23.4,23.5,2025-06-11 11:50:27
0,0,0,0,1,0,6.35792579029015,57.2213321126116,69.9371836931919,31.7896289514509,0.56,635,326,319,23.4,23.5,2025-06-11 11:50:32
0,0,0,0,1,0,120.800590015513,133.516441596094,69.9371836931919,31.7896289514509,0.57,633,327,319,23.4,23.5,2025-06-11 11:50:38
0,0,0,0,1,0,95.3688868543526,57.2213321126116,44.5054805320312,57.2213321126116,0.61,840,326,319,23.4,23.5,2025-06-11 11:50:43
0,0,0,0,1,0,31.7896289514509,95.3688868543526,31.7896289514509,6.35792579029015,0.54,562,325,318,23.4,23.5,2025-06-11 11:50:48
0,0,0,0,1,0,57.2213321126116,95.3688868543526,31.7896289514509,6.35792579029015,0.54,546,327,318,23.4,23.5,2025-06-11 11:50:54
